gate_id,parent_id,type,channel_x,channel_y,points,fcs_file,population
Gate_H,root,polygon,CD34 ECD-A,CD45 APC-A750-A,"[[0.6813549147464487, 0.7154357006611934], [0.6849041434942482, 0.6494370621092898], [0.6916556473241803, 0.6291226500414933], [0.7122639823002135, 0.5729864301225631], [0.752636053693452, 0.5792204749985808], [0.9243714202554336, 0.6281769948907862], [0.972083190526529, 0.6720069096891891], [1.005415184932865, 0.7886526677265124], [0.9929541760813713, 0.8238930657376685], [0.8994709939910801, 0.8695620365731618], [0.8294324210369164, 0.8644159498647437], [0.7927997702618512, 0.830526639710152], [0.7009185335472302, 0.7398187128693103]]",001.fcs,H
Gate_G,root,polygon,CD117 PE-A,CD45 APC-A750-A,"[[0.7693085613595594, 0.6019478298656905], [0.8128776056711383, 0.5892442685280382], [0.8287615470100619, 0.5920762864947076], [0.9134371154233354, 0.622275808262243], [0.9918736899091335, 0.7149054064014416], [1.0064064772132018, 0.7612476708716257], [1.008884006218587, 0.8018125621852861], [0.9204328837084652, 0.8780817145748249], [0.8440480946195431, 0.8943194887843603], [0.8343126011103738, 0.892815200317342], [0.8127074342682227, 0.8791702262659039], [0.8064078285608935, 0.873307551627956], [0.7942253890387603, 0.8594157279832374], [0.7881109904839771, 0.8506396441640203], [0.7149923142008774, 0.7437188357036449], [0.7125736058779005, 0.7396358499259762], [0.7086943114223094, 0.7324815861709267], [0.7349421024075131, 0.6690703731885637], [0.7510286546468152, 0.6316918490049166], [0.7575576523256896, 0.6191666521469993]]",001.fcs,G
001__C__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.7849619002124522, 0.8463934349389741], [0.8673175545391456, 0.9110809125988051], [0.8056943616847935, 0.9365209323523237], [0.7315849749086836, 0.9618480209856772], [0.6390650525093077, 0.947237882469417], [0.6331377067653432, 0.945117204435975], [0.5657566763381977, 0.9101809609748387], [0.5556273121275488, 0.8917939272672253], [0.6031507156815875, 0.8530160077032116], [0.6172854282957927, 0.8443344193790822], [0.6660532119780246, 0.8348744997008016], [0.6760225908067717, 0.8343997977497662]]",001.fcs,C
001__Mono__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.3662740223378364, 0.8723986047356962], [0.3777064347461503, 0.8585079499487558], [0.4000306088901806, 0.8381637375724573], [0.402971183561927, 0.836957381319432], [0.4078647456480537, 0.8399411401974716], [0.415158308672162, 0.8449294742400377], [0.48086793952124274, 0.9180227231781694], [0.4916883951962308, 0.9411439632375669], [0.4786850367927466, 0.9445280494255512], [0.4543653122353961, 0.9493113764349281], [0.4486650277187165, 0.9476016369564231], [0.39317065625807635, 0.9081220011963564], [0.37282185985635935, 0.8883110524772516]]",001.fcs,Mono
001__Lym__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.4520771719574063, 1.0057697257057174], [0.4298516594062947, 1.0182477982878677], [0.3618793930558263, 0.9894345477209318], [0.29326234798770473, 0.9603388250413458], [0.17406016316856657, 0.8963644288165297], [0.1552608756993816, 0.8855811377380788], [0.14331688636555606, 0.865799311963399], [0.14185437375992674, 0.8578172902738537], [0.14419730631026972, 0.8332812949358975], [0.14528210473971537, 0.8280564272882746], [0.16644953832373977, 0.8117901074216349], [0.19140185791304518, 0.808599839962817], [0.22682285997867552, 0.8092447791446513], [0.24369802570250373, 0.811368643559695], [0.3210855933906823, 0.8216066822685292], [0.32459522668813334, 0.8233205217914684], [0.3745732698435267, 0.8521869286020191], [0.46852328615389155, 0.9475238021141054], [0.4754123577984319, 0.9560085327222887], [0.4775707679177506, 0.96585916765538], [0.45787025318118574, 0.9971867987899463]]",001.fcs,Lym
001__Gra__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.3419369585585418, 0.8034011184348326], [0.3440748138987227, 0.7386261346408004], [0.45503785749004705, 0.697948741203454], [0.48464427923815795, 0.6923441383091631], [0.5419628899091278, 0.6851931618481201], [0.564778609591952, 0.6918901954114107], [0.6348458530310119, 0.7975019173822508], [0.649210511992497, 0.8208429355076943], [0.6204277194462461, 0.8538294843158155], [0.6014721544134005, 0.8737375028897332], [0.5685798428952228, 0.9031439974532814], [0.5435682224797682, 0.9155543836019026], [0.4684945456672688, 0.9160899068297805], [0.46699443862025997, 0.9150423890269551], [0.4274366868227214, 0.8826131738262096], [0.37119760492335974, 0.833504921676169], [0.35784765146649705, 0.8216136049915977]]",001.fcs,Gra
001__F__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.06826129418993905, 0.29719722417164784], [0.18208435248897314, 0.1211778180479202], [0.41904388964421485, 0.06081908022405762], [0.5046818042843488, 0.19525917232775378], [0.5848718040711192, 0.33409438848227097], [0.5898386748084993, 0.5052868956948904], [0.5807299897617293, 0.5840827981853395], [0.5718535670193626, 0.6442663323793945], [0.562376484938139, 0.6780232812401388], [0.5573351841265926, 0.6931295861355132], [0.5315125265128036, 0.7143192470234302], [0.4272694399615866, 0.773201014967542], [0.38563509175899296, 0.7674187594787105], [0.293426653357316, 0.746388518278161], [0.2682140544253281, 0.7245028544605042], [0.1869661202044181, 0.6306773872175186], [0.12317232493650339, 0.5015544451317047]]",001.fcs,F
Gate_H,root,polygon,CD34 ECD-A,CD45 APC-A750-A,"[[0.6767243353621794, 0.7235729437420587], [0.6971614474446357, 0.6843868331058132], [0.7176222884675324, 0.6650994897533753], [0.72181514943382, 0.6614537270097498], [0.7772899944923484, 0.6202814824765802], [0.7864362172576159, 0.6209353467758701], [0.9091428581530502, 0.7508616902877158], [0.9264085356518448, 0.7963507456197289], [0.8533649256071439, 0.8392761407572398], [0.8205733385916774, 0.8319220191582651], [0.7698531450166375, 0.8002984354305818], [0.7058641852354266, 0.755658158528069], [0.7019998716535403, 0.752695314019335], [0.6796622583983675, 0.7353530557540996]]",002.fcs,H
Gate_G,root,polygon,CD117 PE-A,CD45 APC-A750-A,"[[0.761922134098834, 0.6514287885474265], [0.8621133585760692, 0.6295590696405028], [0.8715531902830237, 0.6357201690161421], [0.9647758234785337, 0.76056087455326], [0.9668621253729748, 0.8040442340885059], [0.9356431952905604, 0.8450769699044837], [0.8280234226175014, 0.8497268766594405], [0.8005845595380022, 0.8380471050013741], [0.7727813169636136, 0.8161954602185111], [0.74772171396983, 0.7943020838810371], [0.7037064660735431, 0.7512509651784706], [0.7034062767465104, 0.7370536534767393], [0.7171853058164229, 0.6984548753072763], [0.7232775703372013, 0.6832446005275011]]",002.fcs,G
002__C__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.7420986528591131, 0.8911203107062328], [0.7142425665061342, 0.8723910202605435], [0.6888180492817892, 0.8452638418103722], [0.6761682547052341, 0.8310607763138335], [0.6575650139798324, 0.8096568195950579], [0.6593436106359252, 0.8032822871541292], [0.6650133436774198, 0.7930419422874659], [0.6903890976946827, 0.7677619876284821], [0.7021475586101944, 0.7566238715233464], [0.7168077907053042, 0.7593321829112994], [0.7225722137175732, 0.7606809990651746], [0.7873519824181118, 0.8109265552758195], [0.8107627860144623, 0.8614104773095992], [0.8150880579519106, 0.8739297930886121], [0.8121825998515296, 0.875544888851569], [0.8007481808512206, 0.8789583585093868], [0.782504436916579, 0.8842610765424228]]",002.fcs,C
