sample_id,event_index,cell_type
003,0,H
003,1,F
003,2,C
003,5,Gra
003,6,Gra
003,7,Gra
003,9,Gra
003,10,Gra
003,11,Gra
003,12,Lym
003,13,Gra
003,14,Gra
003,15,Gra
003,17,F
003,18,F
003,20,Gra
003,22,Gra
003,23,Gra
003,24,H
003,25,Gra
003,26,F
003,27,Gra
003,28,Gra
003,29,Gra
003,30,Lym
003,31,Lym
003,32,Gra
003,34,Lym
003,36,Gra
003,37,Lym
003,39,F
003,40,F
003,41,F
003,43,Gra
003,44,Gra
003,49,Gra
003,51,F
003,52,F
003,54,Gra
003,56,Gra
003,57,Gra
003,58,Gra
003,59,Lym
003,60,Gra
003,61,Lym
003,62,Gra
003,63,Gra
003,64,F
003,66,Lym
003,67,C
003,68,Gra
003,69,Gra
003,70,F
003,71,Gra
003,73,Gra
003,75,Gra
003,76,C
003,77,F
003,78,Gra
003,80,Gra
003,81,Gra
003,82,Gra
003,84,Gra
003,85,F
003,86,Gra
003,87,Gra
003,88,Gra
003,89,Gra
003,90,Gra
003,91,Gra
003,92,Lym
003,95,Gra
003,96,Gra
003,97,Gra
003,98,Gra
003,100,Gra
003,101,Gra
003,102,F
003,103,H
003,104,Gra
003,106,Gra
003,107,Lym
003,108,Gra
003,109,Lym
003,110,G
003,113,Gra
003,114,Gra
003,116,Gra
003,118,F
003,119,Gra
003,121,Gra
003,122,Gra
003,123,H
003,124,Gra
003,126,Gra
003,128,Gra
003,131,F
003,133,G
003,134,F
003,135,Gra
003,137,F
003,138,Lym
003,140,Gra
003,142,F
003,144,Gra
003,146,Gra
003,147,Gra
003,149,Gra
003,150,Gra
003,151,F
003,152,Gra
003,153,Gra
003,154,Lym
003,155,Gra
003,156,Gra
003,157,Gra
003,158,Gra
003,159,Gra
003,160,Lym
003,161,Gra
003,162,Gra
003,163,Gra
003,164,F
003,165,Gra
003,167,Gra
003,168,Gra
003,169,Gra
003,172,Gra
003,173,Gra
003,174,H
003,175,Gra
003,177,Gra
003,178,Gra
003,179,H
003,181,Gra
003,183,Lym
003,184,Gra
003,185,F
003,186,Gra
003,187,G
003,188,Gra
003,189,Gra
003,190,G
003,191,F
003,192,Gra
003,193,Gra
003,194,Gra
003,196,Lym
003,197,H
003,198,F
003,199,F
003,200,H
003,201,F
003,203,F
003,204,F
003,206,Gra
003,207,Gra
003,209,C
003,210,C
003,211,Gra
003,212,Gra
003,214,F
003,215,Gra
003,216,F
003,217,Gra
003,219,Gra
003,220,Lym
003,221,Gra
003,223,Gra
003,224,G
003,225,Gra
003,226,Gra
003,228,F
003,229,F
003,232,Gra
003,233,Gra
003,235,Gra
003,237,F
003,239,Gra
003,240,H
003,241,Gra
003,242,Gra
003,244,Gra
003,246,Gra
003,247,F
003,248,F
003,249,Gra
003,250,F
003,252,Gra
003,253,Lym
003,254,Lym
003,255,F
003,256,Gra
003,258,Gra
003,260,F
003,261,F
003,262,Gra
003,263,Gra
003,264,F
003,265,Gra
003,266,F
003,268,Gra
003,269,Gra
003,270,F
003,271,F
003,272,C
003,273,Gra
003,274,Lym
003,275,Gra
